#   t     T_i   Q_con  Q_rad  Q_tidal    u    Ur   Deta_L ratio 
# ==== ======= ====== ====== ========= ==== ===== ==============
  2.68 1662.78  34.73  17.27   1.44    2.45 0.497 -1.482
  2.69 1663.57  34.71  17.33   1.46    2.45 0.499 -1.485
  2.70 1664.35  34.70  17.40   1.47    2.44 0.501 -1.489
  2.71 1665.13  34.68  17.46   1.49    2.44 0.504 -1.492
  2.72 1665.90  34.67  17.53   1.50    2.44 0.506 -1.496
  2.73 1666.68  34.65  17.60   1.51    2.43 0.508 -1.499
  2.74 1667.44  34.64  17.66   1.53    2.43 0.510 -1.503
  2.75 1668.21  34.62  17.73   1.54    2.42 0.512 -1.506
  2.76 1668.97  34.61  17.80   1.56    2.42 0.514 -1.510
  2.77 1669.72  34.59  17.87   1.58    2.41 0.516 -1.513
  2.78 1670.47  34.58  17.94   1.59    2.41 0.519 -1.517
  2.79 1671.22  34.56  18.00   1.61    2.41 0.521 -1.520
  2.80 1671.97  34.55  18.07   1.63    2.40 0.523 -1.523
  2.81 1672.71  34.53  18.14   1.64    2.40 0.525 -1.527
  2.82 1673.44  34.52  18.21   1.66    2.39 0.528 -1.530
  2.83 1674.18  34.51  18.29   1.68    2.39 0.530 -1.533
  2.84 1674.91  34.49  18.36   1.70    2.39 0.532 -1.536
  2.85 1675.63  34.48  18.43   1.72    2.38 0.535 -1.540
  2.86 1676.35  34.46  18.50   1.73    2.38 0.537 -1.543
  2.87 1677.07  34.45  18.57   1.75    2.37 0.539 -1.546
  2.88 1677.79  34.44  18.65   1.77    2.37 0.541 -1.549
  2.89 1678.50  34.42  18.72   1.79    2.37 0.544 -1.552
  2.90 1679.20  34.41  18.79   1.81    2.36 0.546 -1.555
  2.91 1679.90  34.40  18.87   1.84    2.36 0.549 -1.559
  2.92 1680.60  34.38  18.94   1.86    2.35 0.551 -1.562
  2.93 1681.30  34.37  19.02   1.88    2.35 0.553 -1.565
  2.94 1681.99  34.36  19.10   1.90    2.35 0.556 -1.568
  2.95 1682.67  34.35  19.17   1.92    2.34 0.558 -1.571
  2.96 1683.35  34.33  19.25   1.95    2.34 0.561 -1.574
  2.97 1684.03  34.32  19.33   1.97    2.34 0.563 -1.577
  2.98 1684.71  34.31  19.41   2.00    2.33 0.566 -1.580
  2.99 1685.38  34.30  19.48   2.02    2.33 0.568 -1.583
  3.00 1686.04  34.28  19.56   2.05    2.33 0.571 -1.586
  3.01 1686.70  34.27  19.64   2.07    2.32 0.573 -1.589
  3.02 1687.36  34.26  19.72   2.10    2.32 0.576 -1.591
  3.03 1688.01  34.25  19.80   2.13    2.32 0.578 -1.594
  3.04 1688.66  34.23  19.88   2.16    2.31 0.581 -1.597
  3.05 1689.31  34.22  19.97   2.18    2.31 0.583 -1.600
  3.06 1689.95  34.21  20.05   2.21    2.31 0.586 -1.603
  3.07 1690.58  34.20  20.13   2.24    2.30 0.589 -1.606
  3.08 1691.22  34.19  20.21   2.27    2.30 0.591 -1.608
  3.09 1691.84  34.18  20.30   2.31    2.30 0.594 -1.611
  3.10 1692.47  34.17  20.38   2.34    2.29 0.597 -1.614
  3.11 1693.09  34.15  20.47   2.37    2.29 0.599 -1.616
  3.12 1693.70  34.14  20.55   2.40    2.29 0.602 -1.619
  3.13 1694.31  34.13  20.64   2.44    2.28 0.605 -1.622
  3.14 1694.92  34.12  20.72   2.47    2.28 0.607 -1.624
  3.15 1695.52  34.11  20.81   2.51    2.28 0.610 -1.627
  3.16 1696.12  34.10  20.90   2.55    2.27 0.613 -1.630
  3.17 1696.71  34.09  20.99   2.59    2.27 0.616 -1.632
  3.18 1697.30  34.08  21.08   2.62    2.27 0.619 -1.635
  3.19 1697.88  34.07  21.17   2.66    2.26 0.621 -1.637
  3.20 1698.46  34.05  21.26   2.71    2.26 0.624 -1.640
  3.21 1699.04  34.04  21.35   2.75    2.26 0.627 -1.642
  3.22 1699.61  34.03  21.44   2.79    2.26 0.630 -1.645
  3.23 1700.17  34.02  21.53   2.83    2.25 0.633 -1.647
  3.24 1700.73  34.01  21.62   2.88    2.25 0.636 -1.650
  3.25 1701.29  34.00  21.72   2.93    2.25 0.639 -1.652
  3.26 1701.84  33.99  21.81   2.97    2.24 0.642 -1.654
  3.27 1702.39  33.98  21.90   3.02    2.24 0.645 -1.657
  3.28 1702.93  33.97  22.00   3.07    2.24 0.648 -1.659
  3.29 1703.47  33.96  22.09   3.13    2.24 0.651 -1.661
  3.30 1704.00  33.95  22.19   3.18    2.23 0.654 -1.664
  3.31 1704.53  33.94  22.29   3.23    2.23 0.657 -1.666
  3.32 1705.05  33.93  22.38   3.29    2.23 0.660 -1.668
  3.33 1705.57  33.92  22.48   3.35    2.23 0.663 -1.670
  3.34 1706.08  33.91  22.58   3.41    2.22 0.666 -1.673
  3.35 1706.59  33.90  22.68   3.47    2.22 0.669 -1.675
  3.36 1707.09  33.90  22.78   3.53    2.22 0.672 -1.677
  3.37 1707.59  33.89  22.88   3.60    2.22 0.675 -1.679
  3.38 1708.09  33.88  22.98   3.66    2.21 0.678 -1.681
  3.39 1708.57  33.87  23.08   3.73    2.21 0.682 -1.683
  3.40 1709.06  33.86  23.19   3.80    2.21 0.685 -1.685
  3.41 1709.54  33.85  23.29   3.87    2.21 0.688 -1.687
  3.42 1710.01  33.84  23.40   3.95    2.20 0.691 -1.689
  3.43 1710.48  33.83  23.50   4.03    2.20 0.695 -1.691
  3.44 1710.94  33.82  23.61   4.10    2.20 0.698 -1.693
  3.45 1711.40  33.82  23.71   4.19    2.20 0.701 -1.695
  3.46 1711.85  33.81  23.82   4.27    2.19 0.705 -1.697
  3.47 1712.30  33.80  23.93   4.36    2.19 0.708 -1.699
  3.48 1712.74  33.79  24.04   4.45    2.19 0.711 -1.701
  3.49 1713.18  33.78  24.14   4.54    2.19 0.715 -1.703
  3.50 1713.61  33.78  24.25   4.63    2.19 0.718 -1.705
  3.51 1714.04  33.77  24.37   4.73    2.18 0.722 -1.707
  3.52 1714.46  33.76  24.48   4.83    2.18 0.725 -1.708
  3.53 1714.88  33.75  24.59   4.94    2.18 0.728 -1.710
  3.54 1715.29  33.75  24.70   5.04    2.18 0.732 -1.712
  3.55 1715.69  33.74  24.82   5.16    2.18 0.736 -1.714
  3.56 1716.09  33.73  24.93   5.27    2.17 0.739 -1.715
  3.57 1716.49  33.73  25.05   5.39    2.17 0.743 -1.717
  3.58 1716.87  33.72  25.16   5.51    2.17 0.746 -1.719
  3.59 1717.26  33.71  25.28   5.64    2.17 0.750 -1.720
  3.60 1717.63  33.71  25.40   5.77    2.17 0.753 -1.722
  3.61 1718.01  33.70  25.52   5.91    2.16 0.757 -1.723
  3.62 1718.37  33.69  25.63   6.05    2.16 0.761 -1.725
  3.63 1718.73  33.69  25.75   6.19    2.16 0.765 -1.726
  3.64 1719.09  33.68  25.88   6.34    2.16 0.768 -1.728
  3.65 1719.44  33.68  26.00   6.50    2.16 0.772 -1.729
  3.66 1719.78  33.67  26.12   6.66    2.16 0.776 -1.731
  3.67 1720.12  33.66  26.24   6.83    2.15 0.780 -1.732
  3.68 1720.45  33.66  26.37   7.00    2.15 0.783 -1.734
  3.69 1720.77  33.65  26.49   7.18    2.15 0.787 -1.735
  3.70 1721.09  33.65  26.62   7.37    2.15 0.791 -1.736
  3.71 1721.41  33.64  26.75   7.56    2.15 0.795 -1.738
  3.72 1721.72  33.64  26.87   7.76    2.15 0.799 -1.739
  3.73 1722.02  33.63  27.00   7.97    2.15 0.803 -1.740
  3.74 1722.31  33.63  27.13   8.18    2.14 0.807 -1.742
  3.75 1722.60  33.62  27.26   8.41    2.14 0.811 -1.743
  3.76 1722.89  33.62  27.40   8.64    2.14 0.815 -1.744
  3.77 1723.16  33.61  27.53   8.88    2.14 0.819 -1.745
  3.78 1723.44  33.61  27.66   9.14    2.14 0.823 -1.746
  3.79 1723.70  33.60  27.80   9.40    2.14 0.827 -1.747
  3.80 1723.96  33.60  27.93   9.67    2.14 0.831 -1.748
  3.81 1724.21  33.60  28.07   9.96    2.14 0.835 -1.749
  3.82 1724.46  33.59  28.20  10.25    2.13 0.840 -1.751
  3.83 1724.70  33.59  28.34  10.56    2.13 0.844 -1.752
  3.84 1724.93  33.58  28.48  10.88    2.13 0.848 -1.753
  3.85 1725.16  33.58  28.62  11.22    2.13 0.852 -1.753
  3.86 1725.38  33.58  28.76  11.56    2.13 0.857 -1.754
  3.87 1725.59  33.57  28.91  11.93    2.13 0.861 -1.755
  3.88 1725.80  33.57  29.05  12.31    2.13 0.865 -1.756
  3.89 1726.00  33.57  29.19  12.71    2.13 0.870 -1.757
  3.90 1726.19  33.56  29.34  13.12    2.13 0.874 -1.758
  3.91 1726.38  33.56  29.48  13.55    2.13 0.879 -1.759
  3.92 1726.56  33.56  29.63  14.01    2.12 0.883 -1.759
  3.93 1726.73  33.55  29.78  14.48    2.12 0.887 -1.760
  3.94 1726.90  33.55  29.93  14.98    2.12 0.892 -1.761
